IsisCube.Core.StartByte,"65537"
IsisCube.Instrument.CpmmPwsBoardTemperature,"33.7954 <C>"
IsisCube.Instrument.MechTlmBoardTemperature,"36.3395 <C>"
IsisCube.Instrument.InstContBoardTemperature,"36.0642 <C>"
IsisCube.Instrument.DllLockedFlag,"(YES, YES)"
IsisCube.Instrument.DllResetCount,"0"
IsisCube.Instrument.DllLockedOnceFlag,"(YES, YES)"
IsisCube.Instrument.DllFrequenceCorrectCount,"4"
IsisCube.Instrument.ADCTimingSetting,"-9999"
IsisCube.Instrument.Unlutted,"TRUE"
IsisCube.Instrument.StitchedChannels,"(0, 1)"
IsisCube.Instrument.StitchedProductIds,"(PSP_006907_1890_RED5_1, PSP_006907_1890_RED5_0)"
IsisCube.Instrument.Special_Processing_Flag,"CUBENORM"
IsisCube.Archive.DataSetId,"MRO-M-HIRISE-2-EDR-V1.0"
IsisCube.Archive.ProducerId,"UA"
IsisCube.Archive.ObservationId,"PSP_006907_1890"
IsisCube.Archive.ProductId,"PSP_006907_1890_RED5_1"
IsisCube.Archive.ProductVersionId,"1.0"
IsisCube.Archive.EdrProductCreationTime,"2008-01-17T23:48:31"
IsisCube.Archive.RationaleDescription,"Null"
IsisCube.Archive.OrbitNumber,"6907"
IsisCube.Archive.SoftwareName,"HiRISE_Observation v2.10.2 (2.44 2007/06/13 01:05:33)"
IsisCube.Archive.ObservationStartTime,"2008-01-16T15:52:50.433"
IsisCube.Archive.ReadoutStartTime,"2008-01-16T15:58:56.382"
IsisCube.Archive.TrimLines,"1214"
IsisCube.Archive.FelicsCompressionFlag,"YES"
IsisCube.Archive.IdFlightSoftwareName,"IE_FSW_V4"
IsisCube.BandBin.Name,"Red"
IsisCube.BandBin.Center,"700 <NANOMETERS>"
IsisCube.BandBin.Width,"300 <NANOMETERS>"
IsisCube.Kernels.NaifIkCode,"-74699"
IsisCube.Kernels.LeapSecond,"$base/kernels/lsk/naif0008.tls"
IsisCube.Kernels.TargetAttitudeShape,"$base/kernels/pck/pck00008.tpc"
IsisCube.Kernels.TargetPosition,"Table"
IsisCube.Kernels.InstrumentPointing,"Table"
IsisCube.Kernels.Instrument,"Null"
IsisCube.Kernels.SpacecraftClock,"$mro/kernels/sclk/MRO_SCLKSCET.00022.65536.tsc"
IsisCube.Kernels.InstrumentPosition,"Table"
IsisCube.Kernels.InstrumentAddendum,"$mro/kernels/iak/hiriseAddendum003.ti"
IsisCube.Kernels.ShapeModel,"/HiRISE/Data/NAIF/molaDTM/molaMarsPlanetaryRadius_H- iRISE.cub"
IsisCube.AlphaCube.AlphaSamples,"2048"
IsisCube.AlphaCube.AlphaLines,"80000"
IsisCube.AlphaCube.AlphaStartingSample,"0.5"
IsisCube.AlphaCube.AlphaStartingLine,"0.5"
IsisCube.AlphaCube.AlphaEndingSample,"205.5"
IsisCube.AlphaCube.AlphaEndingLine,"8000.5"
IsisCube.AlphaCube.BetaSamples,"205"
IsisCube.AlphaCube.BetaLines,"8000"
IsisCube.RadiometricCalibration.Name,"hiclean2"
IsisCube.RadiometricCalibration.Version,"1.4.1"
IsisCube.RadiometricCalibration.Compatability,"Alan D. clean.pro,  version 2/29 sep 2006"
IsisCube.RadiometricCalibration.Revision,"$Revision: 1.2 $"
IsisCube.RadiometricCalibration.MaskStartingRow,"21"
IsisCube.RadiometricCalibration.MaskEndingRow,"38"
IsisCube.RadiometricCalibration.BadMaskPixels,"0"
IsisCube.RadiometricCalibration.MaskInducedNulls,"0"
IsisCube.RadiometricCalibration.DarkOption,"DERIVED"
IsisCube.RadiometricCalibration.DarkStartingColumn,"4"
IsisCube.RadiometricCalibration.DarkEndingColumn,"11"
IsisCube.RadiometricCalibration.DarkMedian,"14.643939393939"
IsisCube.RadiometricCalibration.BadDarkPixels,"0"
IsisCube.RadiometricCalibration.DarkInducedNulls,"0"
IsisCube.RadiometricCalibration.LastGoodLine,"80000"
IsisCube.RadiometricCalibration.ProgramName,"hical"
IsisCube.RadiometricCalibration.HicalVersion,"1.0"
IsisCube.RadiometricCalibration.HicalRevision,"$Revision: 1.4 $"
IsisCube.RadiometricCalibration.HicalConfiguration,"$mro/calibration/hical.0001.conf"
IsisCube.RadiometricCalibration.Profile,"HiMatrices+[RED]"
IsisCube.RadiometricCalibration.A,"$mro/calibration/matrices/A_TDI128_BIN1_0002.cub+12"
IsisCube.RadiometricCalibration.B,"$mro/calibration/matrices/B_TDI128_BIN1_0002.cub+12"
IsisCube.RadiometricCalibration.G,"$mro/calibration/matrices/G_TDI128_BIN1_0000.cub+12"
IsisCube.RadiometricCalibration.FilterGainCorrection,"175613029.0"
IsisCube.RadiometricCalibration.IFTdiBinFactor,"1.0"
IsisCube.RadiometricCalibration.ScanExposureDuration,"87.8125"
IsisCube.RadiometricCalibration.SunDistance,"1.6010852343774 <AU>"
IsisCube.RadiometricCalibration.SolarConstant,"0.87771518783589"
IsisCube.RadiometricCalibration.IFCorrection,"154.13822273517"
Label.Bytes,"65536"
Table.Name,"SunPosition"
Table.StartByte,"23462705"
Table.Bytes,"2560032"
Table.Records,"80001"
Table.ByteOrder,"Lsb"
Table.Field.Name,"ET"
Table.Field.Type,"Double"
Table.Field.Size,"1"
Table.Association,"Lines"
Table.Description,"Created by spiceinit"
Table.Kernels,"$base/kernels/spk/de405.bsp"
Table.SolarLongitude,"18.436689424944"
History.Name,"IsisCube"
History.StartByte,"26052947"
History.Bytes,"8606"
OriginalLabel.Name,"IsisCube"
OriginalLabel.StartByte,"26022737"
OriginalLabel.Bytes,"30210"
PDS_VERSION_ID,"PDS3"
RECORD_TYPE,"UNDEFINED"
LABEL_RECORDS,"32768 <BYTES>"
^SCIENCE_CHANNEL_TABLE,"32769 <BYTES>"
^LOOKUP_TABLE,"33569 <BYTES>"
^CPMM_ENGINEERING_TABLE,"49953 <BYTES>"
^CALIBRATION_LINE_PREFIX_TABLE,"50013 <BYTES>"
^CALIBRATION_LINE_SUFFIX_TABLE,"50013 <BYTES>"
^CALIBRATION_IMAGE,"50013 <BYTES>"
^LINE_PREFIX_TABLE,"227757 <BYTES>"
^LINE_SUFFIX_TABLE,"227757 <BYTES>"
^IMAGE,"227757 <BYTES>"
^GAP_TABLE,"84867757 <BYTES>"
DATA_SET_ID,"MRO-M-HIRISE-2-EDR-V1.0"
DATA_SET_NAME,"MRO MARS HIGH RESOLUTION IMAGING SCIENCE EXPERIMENT EDR V1.0"
PRODUCER_INSTITUTION_NAME,"UNIVERSITY OF ARIZONA"
PRODUCER_ID,"UA"
PRODUCER_FULL_NAME,"ALFRED MCEWEN"
OBSERVATION_ID,"PSP_006907_1890"
MRO-COMMANDED_ID,"PSP_006907_1890"
PRODUCT_ID,"PSP_006907_1890_RED5_1"
PRODUCT_VERSION_ID,"1.0"
SOURCE_FILE_NAME,"4A_01_486BED7A00_08_1_01.DAT"
INSTRUMENT_HOST_NAME,"MARS RECONNAISSANCE ORBITER"
INSTRUMENT_HOST_ID,"MRO"
INSTRUMENT_NAME,"HIGH RESOLUTION IMAGING SCIENCE EXPERIMENT"
INSTRUMENT_ID,"HIRISE"
TARGET_NAME,"MARS"
MISSION_PHASE_NAME,"PRIMARY SCIENCE PHASE"
ORBIT_NUMBER,"6907"
RATIONALE_DESC,"Impact crater along the margin of Athabasca Vallis"
SOFTWARE_NAME,"HiRISE_Observation v2.10.2 (2.44 2007/06/13 01:05:33)"
FLIGHT_SOFTWARE_VERSION_ID,"IE_FSW_V4"
SCIENCE_CHANNEL_TABLE.INTERCHANGE_FORMAT,"BINARY"
SCIENCE_CHANNEL_TABLE.ROWS,"1"
SCIENCE_CHANNEL_TABLE.COLUMNS,"184"
SCIENCE_CHANNEL_TABLE.ROW_BYTES,"800"
SCIENCE_CHANNEL_TABLE.DESCRIPTION,"The Science Channel Table contains engineering fields describing the operating state and commanding of the HiRISE observation. For detailed information about the contents and organization of this observation data component, refer to the SCIENCE_CHANNEL_TABLE.FMT file."
SCIENCE_CHANNEL_TABLE.^STRUCTURE,"SCIENCE_CHANNEL_TABLE.FMT"
LOOKUP_TABLE.INTERCHANGE_FORMAT,"BINARY"
LOOKUP_TABLE.ROWS,"16384"
LOOKUP_TABLE.COLUMNS,"1"
LOOKUP_TABLE.ROW_BYTES,"1"
LOOKUP_TABLE.DESCRIPTION,"The Lookup Table (LUT) defines the translation of 14-bit input pixels to 8-bit output pixels. The table has one column and 16384 rows, one for each input DN value. The first entry of the table refers to the 8-bit output value for the input pixel value 0."
LOOKUP_TABLE.COLUMN.NAME,"Output Data Value"
LOOKUP_TABLE.COLUMN.DATA_TYPE,"MSB_UNSIGNED_INTEGER"
LOOKUP_TABLE.COLUMN.START_BYTE,"1"
LOOKUP_TABLE.COLUMN.BYTES,"1"
LOOKUP_TABLE.COLUMN.DESCRIPTION,"The rows represent the 8-bit output pixel value for each 14-bit input pixel. The first row contains the 8-bit pixel value corresponding to the input DN value of 0. Each subsequent row corresponds to the 8-bit output pixel of the next input DN value."
CPMM_ENGINEERING_TABLE.INTERCHANGE_FORMAT,"BINARY"
CPMM_ENGINEERING_TABLE.ROWS,"1"
CPMM_ENGINEERING_TABLE.COLUMNS,"8"
CPMM_ENGINEERING_TABLE.ROW_BYTES,"60"
CPMM_ENGINEERING_TABLE.DESCRIPTION,"The CPMM Engineering Table contains engineering fields used by the CCD Processing and Memory Module (CPMM) in commanding the CCD during the observation. For detailed information about the contents and organization of this observation data component, refer to the CPMM_ENGINEERING_TABLE.FMT file."
CPMM_ENGINEERING_TABLE.^STRUCTURE,"CPMM_ENGINEERING_TABLE.FMT"
CALIBRATION_LINE_PREFIX_TABLE.INTERCHANGE_FORMAT,"BINARY"
CALIBRATION_LINE_PREFIX_TABLE.ROWS,"168"
CALIBRATION_LINE_PREFIX_TABLE.COLUMNS,"2"
CALIBRATION_LINE_PREFIX_TABLE.ROW_BYTES,"18"
CALIBRATION_LINE_PREFIX_TABLE.ROW_SUFFIX_BYTES,"1040"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.NAME,"Buffer Pixels"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.DATA_TYPE,"MSB_UNSIGNED_INTEGER"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.START_BYTE,"7"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.BYTES,"12"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.DESCRIPTION,"The buffer pixels contain the value of empty pixels after going through the instrument electronics."
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.NAME,"Bad Line"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.BIT_DATA_TYPE,"MSB_UNSIGNED_INTEGER"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.START_BIT,"48"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.BITS,"1"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.DESCRIPTION,"The bad line flag is set when the line was found to have a misplaced or corrupted line header. A line header that is lost in a data gap does not result in a bad line."
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.ITEMS,"12"
CALIBRATION_LINE_PREFIX_TABLE.COLUMN.ITEM_BYTES,"1"
CALIBRATION_LINE_SUFFIX_TABLE.INTERCHANGE_FORMAT,"BINARY"
CALIBRATION_LINE_SUFFIX_TABLE.ROWS,"168"
CALIBRATION_LINE_SUFFIX_TABLE.COLUMNS,"1"
CALIBRATION_LINE_SUFFIX_TABLE.ROW_BYTES,"16"
CALIBRATION_LINE_SUFFIX_TABLE.ROW_PREFIX_BYTES,"1042"
CALIBRATION_LINE_SUFFIX_TABLE.COLUMN.NAME,"Dark Reference Pixels"
CALIBRATION_LINE_SUFFIX_TABLE.COLUMN.DATA_TYPE,"MSB_UNSIGNED_INTEGER"
CALIBRATION_LINE_SUFFIX_TABLE.COLUMN.START_BYTE,"1"
CALIBRATION_LINE_SUFFIX_TABLE.COLUMN.BYTES,"16"
CALIBRATION_LINE_SUFFIX_TABLE.COLUMN.ITEMS,"16"
CALIBRATION_LINE_SUFFIX_TABLE.COLUMN.ITEM_BYTES,"1"
CALIBRATION_LINE_SUFFIX_TABLE.COLUMN.DESCRIPTION,"Dark reference pixel values produced by masked detectors."
CALIBRATION_IMAGE.LINES,"168"
CALIBRATION_IMAGE.LINE_SAMPLES,"1024"
CALIBRATION_IMAGE.SAMPLE_BITS,"8"
CALIBRATION_IMAGE.SAMPLE_BIT_MASK,"2#11111111#"
CALIBRATION_IMAGE.SAMPLE_TYPE,"MSB_UNSIGNED_INTEGER"
CALIBRATION_IMAGE.MISSING_CONSTANT,"16#FF#"
CALIBRATION_IMAGE.LINE_PREFIX_BYTES,"18"
CALIBRATION_IMAGE.LINE_SUFFIX_BYTES,"16"
CALIBRATION_IMAGE.DESCRIPTION,"The calibration image results from passing unexposed pixels through the instrument electronics. This records the instrument fixed noise signature that can be used to correct the observational data."
LINE_PREFIX_TABLE.INTERCHANGE_FORMAT,"BINARY"
LINE_PREFIX_TABLE.ROWS,"80000"
LINE_PREFIX_TABLE.COLUMNS,"2"
LINE_PREFIX_TABLE.ROW_BYTES,"18"
LINE_PREFIX_TABLE.ROW_SUFFIX_BYTES,"1040"
LINE_PREFIX_TABLE.COLUMN.NAME,"Buffer Pixels"
LINE_PREFIX_TABLE.COLUMN.DATA_TYPE,"MSB_UNSIGNED_INTEGER"
LINE_PREFIX_TABLE.COLUMN.START_BYTE,"7"
LINE_PREFIX_TABLE.COLUMN.BYTES,"12"
LINE_PREFIX_TABLE.COLUMN.DESCRIPTION,"The buffer pixels contain the value of empty pixels after going through the instrument electronics."
LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.NAME,"Bad Line"
LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.BIT_DATA_TYPE,"MSB_UNSIGNED_INTEGER"
LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.START_BIT,"48"
LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.BITS,"1"
LINE_PREFIX_TABLE.COLUMN.BIT_COLUMN.DESCRIPTION,"The bad line flag is set when the line was found to have a misplaced or corrupted line header. A line header that is lost in a data gap does not result in a bad line."
LINE_PREFIX_TABLE.COLUMN.ITEMS,"12"
LINE_PREFIX_TABLE.COLUMN.ITEM_BYTES,"1"
LINE_SUFFIX_TABLE.INTERCHANGE_FORMAT,"BINARY"
LINE_SUFFIX_TABLE.ROWS,"80000"
LINE_SUFFIX_TABLE.COLUMNS,"1"
LINE_SUFFIX_TABLE.ROW_BYTES,"16"
LINE_SUFFIX_TABLE.ROW_PREFIX_BYTES,"1042"
LINE_SUFFIX_TABLE.COLUMN.NAME,"Dark Reference Pixels"
LINE_SUFFIX_TABLE.COLUMN.DATA_TYPE,"MSB_UNSIGNED_INTEGER"
LINE_SUFFIX_TABLE.COLUMN.START_BYTE,"1"
LINE_SUFFIX_TABLE.COLUMN.BYTES,"16"
LINE_SUFFIX_TABLE.COLUMN.ITEMS,"16"
LINE_SUFFIX_TABLE.COLUMN.ITEM_BYTES,"1"
LINE_SUFFIX_TABLE.COLUMN.DESCRIPTION,"Dark reference pixel values produced by masked detectors."
IMAGE.LINES,"80000"
IMAGE.LINE_SAMPLES,"1024"
IMAGE.SAMPLE_BITS,"8"
IMAGE.SAMPLE_BIT_MASK,"2#11111111#"
IMAGE.SAMPLE_TYPE,"MSB_UNSIGNED_INTEGER"
IMAGE.MISSING_CONSTANT,"16#FF#"
IMAGE.LINE_PREFIX_BYTES,"18"
IMAGE.LINE_SUFFIX_BYTES,"16"
IMAGE.DESCRIPTION,"Observation image data."
GAP_TABLE.INTERCHANGE_FORMAT,"BINARY"
GAP_TABLE.ROWS,"0"
GAP_TABLE.COLUMNS,"2"
GAP_TABLE.ROW_BYTES,"8"
GAP_TABLE.DESCRIPTION,"The Gap Table identifies the location of gap byte value (0xFF) segments in the file as a set of [start, end) range pairs."
GAP_TABLE.COLUMN.NAME,"Range End"
GAP_TABLE.COLUMN.DATA_TYPE,"MSB_UNSIGNED_INTEGER"
GAP_TABLE.COLUMN.START_BYTE,"5"
GAP_TABLE.COLUMN.BYTES,"4"
GAP_TABLE.COLUMN.DESCRIPTION,"The byte offset (0-based) from the beginning of the file to the end byte (exclusive) of the range."
TIME_PARAMETERS.MRO-ANALOG_POWER_START_TIME,"2008-01-16T15:49:31.089"
TIME_PARAMETERS.MRO-ANALOG_POWER_START_COUNT,"884965790:54069"
TIME_PARAMETERS.MRO-OBSERVATION_START_TIME,"2008-01-16T15:52:50.433"
TIME_PARAMETERS.MRO-OBSERVATION_START_COUNT,"884965990:11081"
TIME_PARAMETERS.MRO-CALIBRATION_START_TIME,"2008-01-16T15:52:50.556"
TIME_PARAMETERS.MRO-CALIBRATION_START_COUNT,"884965990:19110"
TIME_PARAMETERS.START_TIME,"2008-01-16T15:52:50.571"
TIME_PARAMETERS.SPACECRAFT_CLOCK_START_COUNT,"884965990:20076"
TIME_PARAMETERS.STOP_TIME,"2008-01-16T15:52:57.596"
TIME_PARAMETERS.SPACECRAFT_CLOCK_STOP_COUNT,"884965997:21715"
TIME_PARAMETERS.MRO-READOUT_START_TIME,"2008-01-16T15:58:56.382"
TIME_PARAMETERS.MRO-READOUT_START_COUNT,"884966356:07730"
TIME_PARAMETERS.PRODUCT_CREATION_TIME,"2008-01-17T23:48:31"
INSTRUMENT_SETTING_PARAMETERS.MRO-CPMM_NUMBER,"8"
INSTRUMENT_SETTING_PARAMETERS.MRO-CHANNEL_NUMBER,"1"
INSTRUMENT_SETTING_PARAMETERS.FILTER_NAME,"RED"
INSTRUMENT_SETTING_PARAMETERS.CENTER_FILTER_WAVELENGTH,"700 <NANOMETERS>"
INSTRUMENT_SETTING_PARAMETERS.BANDWIDTH,"300 <NANOMETERS>"
INSTRUMENT_SETTING_PARAMETERS.MRO-SCAN_EXPOSURE_DURATION,"87.8125 <MICROSECONDS>"
INSTRUMENT_SETTING_PARAMETERS.MRO-LINE_EXPOSURE_DURATION,"87.8125 <MICROSECONDS>"
INSTRUMENT_SETTING_PARAMETERS.MRO-IMAGE_EXPOSURE_DURATION,"7039752.5000 <MICROSECONDS>"
INSTRUMENT_SETTING_PARAMETERS.MRO-DELTA_LINE_TIMER_COUNT,"221"
INSTRUMENT_SETTING_PARAMETERS.MRO-POWERED_CPMM_FLAG,"(ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON)"
INSTRUMENT_SETTING_PARAMETERS.MRO-BINNING,"1"
INSTRUMENT_SETTING_PARAMETERS.MRO-TDI,"128"
INSTRUMENT_SETTING_PARAMETERS.MRO-TRIM_LINES,"1214"
INSTRUMENT_SETTING_PARAMETERS.MRO-FOCUS_POSITION_COUNT,"2023"
INSTRUMENT_SETTING_PARAMETERS.MRO-FELICS_COMPRESSION_FLAG,"YES"
INSTRUMENT_SETTING_PARAMETERS.MRO-STIMULATION_LAMP_FLAG,"(OFF, OFF, OFF)"
INSTRUMENT_SETTING_PARAMETERS.MRO-HEATER_CONTROL_MODE,"CLOSED LOOP"
INSTRUMENT_SETTING_PARAMETERS.MRO-HEATER_CONTROL_FLAG,"(ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON, ON)"
INSTRUMENT_SETTING_PARAMETERS.MRO-LOOKUP_TABLE_TYPE,"STORED"
INSTRUMENT_SETTING_PARAMETERS.MRO-LOOKUP_TABLE_MINIMUM,"-9998"
INSTRUMENT_SETTING_PARAMETERS.MRO-LOOKUP_TABLE_MAXIMUM,"-9998"
INSTRUMENT_SETTING_PARAMETERS.MRO-LOOKUP_TABLE_MEDIAN,"-9998"
INSTRUMENT_SETTING_PARAMETERS.MRO-LOOKUP_TABLE_K_VALUE,"-9998"
INSTRUMENT_SETTING_PARAMETERS.MRO-LOOKUP_TABLE_NUMBER,"17"
