IsisCube.Core.StartByte,"65537"
Table.ConstantRotation,"(0.99999956087984, -1.51960241928036e-05, 9.37021451059404e-04, 1.52765520753568e-05, 0.99999999619106, -8.59331791187956e-05, -9.3702014164768e-04, 8.59474558407972e-05, 0.99999955730305)"
Table.CkTableStartTime,"587916746.01498"
Table.CkTableEndTime,"587916780.61185"
Table.CkTableOriginalSize,"2"
Table.FrameTypeCode,"2"
Table.Description,"Created by spiceinit"
Table.Kernels,"$base/kernels/spk/de405.bsp"
Table.CacheType,"Linear"
Table.SpkTableStartTime,"587916746.01498"
Table.SpkTableEndTime,"587916780.61185"
Table.SpkTableOriginalSize,"2.0"
Table.PoleRa,"(317.68143, -0.1061, 0.0)"
Table.PoleDec,"(52.8865, -0.0609, 0.0)"
Table.PrimeMeridian,"(176.63, 350.89198226, 0.0)"
Table.SolarLongitude,"233.15722000519"
History.Name,"IsisCube"
History.StartByte,"4954543"
History.Bytes,"3126"
NaifKeywords.BODY499_RADII,"(3396.19, 3396.19, 3376.2)"
NaifKeywords.BODY_FRAME_CODE,"10014"
NaifKeywords.INS-74021_FOCAL_LENGTH,"352.9271664"
NaifKeywords.INS-74021_PIXEL_PITCH,"0.007"
NaifKeywords.CLOCK_ET_-74_1219111926-238_COMPUTED,"f9ea01e57285c141"
NaifKeywords.INS-74021_TRANSX,"(0.0, 0.0, 0.007)"
NaifKeywords.INS-74021_TRANSY,"(0.0, 0.007, 0.0)"
NaifKeywords.INS-74021_ITRANSS,"(0.0, 0.0, 142.85714285714)"
NaifKeywords.INS-74021_ITRANSL,"(0.0, 142.85714285714, 0.0)"
NaifKeywords.INS-74021_BORESIGHT_SAMPLE,"2543.46099"
NaifKeywords.INS-74021_BORESIGHT_LINE,"0.430442527"
NaifKeywords.INS-74021_OD_K,"(-0.0073433925920055, 2.83758786362417e-05, 1.28419891240271e-08)"
OriginalLabel.Name,"IsisCube"
OriginalLabel.StartByte,"4952761"
OriginalLabel.Bytes,"1782"
PDS_VERSION_ID,"PDS3"
FILE_NAME,"K08_056540_0912_XI_88S135W.IMG"
RECORD_TYPE,"FIXED_LENGTH"
RECORD_BYTES,"5056"
FILE_RECORDS,"18433"
LABEL_RECORDS,"1"
^IMAGE,"2"
SPACECRAFT_NAME,"MARS_RECONNAISSANCE_ORBITER"
INSTRUMENT_NAME,"CONTEXT CAMERA"
INSTRUMENT_HOST_NAME,"MARS RECONNAISSANCE ORBITER"
MISSION_PHASE_NAME,"ESP"
TARGET_NAME,"MARS"
INSTRUMENT_ID,"CTX"
PRODUCER_ID,"MRO_CTX_TEAM"
DATA_SET_ID,"MRO-M-CTX-2-EDR-L0-V1.0"
PRODUCT_CREATION_TIME,"2019-01-08T21:22:47"
SOFTWARE_NAME,"makepds05 $Revision: 1.16 $"
UPLOAD_ID,"UNK"
ORIGINAL_PRODUCT_ID,"4A_04_111F01DA00"
PRODUCT_ID,"K08_056540_0912_XI_88S135W"
START_TIME,"2018-08-19T02:11:16.832"
STOP_TIME,"2018-08-19T02:11:51.424"
SPACECRAFT_CLOCK_START_COUNT,"1219111926:238"
SPACECRAFT_CLOCK_STOP_COUNT,"N/A"
FOCAL_PLANE_TEMPERATURE,"298.3 <K>"
SAMPLE_BIT_MODE_ID,"SQROOT"
OFFSET_MODE_ID,"197/218/211"
LINE_EXPOSURE_DURATION,"1.877 <MSEC>"
SAMPLING_FACTOR,"1"
SAMPLE_FIRST_PIXEL,"0"
RATIONALE_DESC,"South polar residual cap spring mosaic campaign"
DATA_QUALITY_DESC,"OK"
ORBIT_NUMBER,"56540"
IMAGE.LINES,"18432"
IMAGE.LINE_SAMPLES,"5056"
IMAGE.LINE_PREFIX_BYTES,"0"
IMAGE.LINE_SUFFIX_BYTES,"0"
IMAGE.SAMPLE_TYPE,"UNSIGNED_INTEGER"
IMAGE.SAMPLE_BITS,"8"
IMAGE.SAMPLE_BIT_MASK,"2#11111111#"
IMAGE.CHECKSUM,"16#EF0A01E4#"
GroundPoint.Filename,"uploads/u-0K08_056540_0912_XI_88S135W.lev2.cub"
GroundPoint.Sample,"569.0"
GroundPoint.Line,"336.0"
GroundPoint.PixelValue,"0.17795512"
GroundPoint.RightAscension,"357.76947797326 <DEGREE>"
GroundPoint.Declination,"66.500787631371 <DEGREE>"
GroundPoint.PlanetocentricLatitude,"-88.838059741156 <DEGREE>"
GroundPoint.PlanetographicLatitude,"-88.851694190519 <DEGREE>"
GroundPoint.PositiveEast360Longitude,"225.21998804886 <DEGREE>"
GroundPoint.PositiveEast180Longitude,"-134.78001195114 <DEGREE>"
GroundPoint.PositiveWest360Longitude,"134.78001195114 <DEGREE>"
GroundPoint.PositiveWest180Longitude,"134.78001195114 <DEGREE>"
GroundPoint.BodyFixedCoordinate,"(-48.29102851419, -48.663287970344, -3380.1396452285) <km>"
GroundPoint.LocalRadius,"3380834.8318539 <meters>"
GroundPoint.SampleResolution,"5.2733622284204 <meters/pixel>"
GroundPoint.LineResolution,"5.2733622284204 <meters/pixel>"
GroundPoint.ObliqueDetectorResolution,"5.7198168280328 <meters>"
GroundPoint.ObliquePixelResolution,"5.7198168280328 <meters/pix>"
GroundPoint.ObliqueLineResolution,"5.7198168280328 <meters>"
GroundPoint.ObliqueSampleResolution,"5.7198168280328 <meters> # Spacecraft Information"
GroundPoint.SpacecraftPosition,"(-72.530786473368, -152.99461972472, -3623.4830144664) <km>"
GroundPoint.SpacecraftAzimuth,"291.05164584755 <DEGREE>"
GroundPoint.SlantDistance,"265.87325552531 <km>"
GroundPoint.TargetCenterDistance,"3627.4367292591 <km>"
GroundPoint.SubSpacecraftLatitude,"-87.324654779275 <DEGREE>"
GroundPoint.SubSpacecraftLongitude,"244.63558164585 <DEGREE>"
GroundPoint.SpacecraftAltitude,"246.09376487805 <km>"
GroundPoint.OffNadirAngle,"21.161757828331 <DEGREE>"
GroundPoint.SubSpacecraftGroundAzimuth,"33.1493257514 <DEGREE> # Sun Information"
GroundPoint.SunPosition,"(-97966602.101671, 168736498.11856, -70698747.402725) <km>"
GroundPoint.SubSolarAzimuth,"152.41855801635 <DEGREE>"
GroundPoint.SolarDistance,"1.3872298494399 <AU>"
GroundPoint.SubSolarLatitude,"-19.917776638963 <DEGREE>"
GroundPoint.SubSolarLongitude,"120.13899106234 <DEGREE>"
GroundPoint.SubSolarGroundAzimuth,"254.5162379103 <DEGREE> # Illumination and Other"
GroundPoint.Phase,"87.950312873161 <DEGREE>"
GroundPoint.Incidence,"70.385734929225 <DEGREE>"
GroundPoint.Emission,"22.787747841106 <DEGREE>"
GroundPoint.NorthAzimuth,"257.90232071304 <DEGREE> # Time"
GroundPoint.EphemerisTime,"587916763.32515 <seconds>"
GroundPoint.UTC,"2018-08-19T02:11:34.1422941"
GroundPoint.LocalSolarTime,"19.005399799101 <hour>"
GroundPoint.SolarLongitude,"233.15722000519 <DEGREE> # Look Direction Unit Vectors in Body Fixed, J2000, and Camera Coordinate Systems."
GroundPoint.LookDirectionBodyFixed,"(24.239757959178, 104.33133175437, 243.34336923793)"
GroundPoint.LookDirectionJ2000,"(105.93303765662, -4.1260528317595, 243.82320485241)"
GroundPoint.LookDirectionCamera,"(-0.0022855583669212, -0.38599614348875, 265.87297531976)"
